participant.label,conjoint_app.1.player.id_in_group,conjoint_app.1.player.role,conjoint_app.1.player.payoff,conjoint_app.1.player.device_type,conjoint_app.1.player.operating_system,conjoint_app.1.player.browser,conjoint_app.1.player.lang,conjoint_app.1.player.language,conjoint_app.1.player.use_of_device,conjoint_app.1.player.time_start,conjoint_app.1.group.id_in_subsession,conjoint_app.1.subsession.round_number,demographic_app.1.player.id_in_group,demographic_app.1.player.role,demographic_app.1.player.payoff,demographic_app.1.player.rent,demographic_app.1.player.income,demographic_app.1.player.edu_father,demographic_app.1.player.edu_mother,demographic_app.1.player.ocu_father,demographic_app.1.player.ocu_mother,demographic_app.1.player.age,demographic_app.1.player.gender,demographic_app.1.player.postcode,demographic_app.1.player.tutorial,demographic_app.1.player.grade,demographic_app.1.group.id_in_subsession,demographic_app.1.subsession.round_number,network_app.1.player.participantcode,political_app.1.player.id_in_group,political_app.1.player.role,political_app.1.player.payoff,political_app.1.player.sunday_poll,political_app.1.player.sunday_party_vote,political_app.1.player.sunday_not_eligible,political_app.1.player.noteligible_sunday_party_vote,political_app.1.player.scalo_cdu,political_app.1.player.scalo_csu,political_app.1.player.scalo_spd,political_app.1.player.scalo_gruene,political_app.1.player.scalo_fdp,political_app.1.player.scalo_afd,political_app.1.player.scalo_linke,political_app.1.player.scalo_bsw,political_app.1.player.scalo_pep1,political_app.1.player.scalo_pep2,political_app.1.player.scalo_pep3,political_app.1.player.scalo_pep4,political_app.1.player.scalo_pep5,political_app.1.player.scalo_pep6,political_app.1.player.scalo_pep7,political_app.1.player.scalo_pep8,political_app.1.player.scalo_pep9,political_app.1.player.scalo_pep10,political_app.1.player.scalo_pep11,political_app.1.player.scalo_pep12,political_app.1.player.scalo_pep13,political_app.1.player.scalo_pep14,political_app.1.player.scalo_pep15,political_app.1.player.scalo_pep16,political_app.1.player.politics_question_one,political_app.1.player.politics_question_two,political_app.1.player.politics_question_three,political_app.1.player.politics_question_four,political_app.1.player.politics_question_five,political_app.1.player.politics_question_six,political_app.1.player.politics_question_seven,political_app.1.player.lr_CDU,political_app.1.player.lr_CSU,political_app.1.player.lr_SPD,political_app.1.player.lr_Gruene,political_app.1.player.lr_FDP,political_app.1.player.lr_Linke,political_app.1.player.lr_AfD,political_app.1.player.lr_BSW,political_app.1.group.id_in_subsession,political_app.1.subsession.round_number
,2,,0.0,3.0,2.0,3.0,1.0,,2.0,2024-11-12T22:30:24.070Z,1,1,2,,0.0,,,3.0,2.0,0.0,0.0,45.0,2.0,45.0,5.0,3.0,1,1,wer,2,,0.0,2.0,,,,-3.0,-2.0,2.0,,,,,,-5,2,2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,5,-999,-999,-999,-999,-999,-999,3,6,9,8,10,-999,-999,-999,1,1
,3,,0.0,3.0,2.0,3.0,0.0,,2.0,2024-11-12T22:32:06.979Z,1,1,3,,0.0,,,2.0,1.0,0.0,1.0,56.0,1.0,56.0,5.0,2.7,1,1,ttz,3,,0.0,,,,,,,,,,,,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,-999,-999,1,1
,4,,0.0,3.0,2.0,3.0,0.0,,1.0,2024-11-13T09:22:47.197Z,1,1,4,,0.0,,,1.0,1.0,1.0,1.0,22.0,1.0,88.0,6.0,-888.0,1,1,kru,4,,0.0,1.0,3.0,,,-1.0,-1.0,0.0,2.0,0.0,-5.0,1.0,-3.0,0,5,0,0,-3,1,-5,0,0,-5,-5,1,2,-5,-2,-1,4,2,4,2,2,4,4,6,6,5,4,3,3,11,8,1,1
,6,,0.0,2.0,5.0,3.0,0.0,,3.0,2024-11-13T09:23:05.971Z,1,1,6,,0.0,,,1.0,1.0,0.0,0.0,27.0,1.0,89.0,4.0,2.7,1,1,4yx,6,,0.0,1.0,3.0,,,1.0,-3.0,2.0,4.0,-4.0,-5.0,1.0,-4.0,1,2,5,-4,-5,2,-4,5,2,-5,-5,-2,5,-5,-4,-1,2,2,4,2,5,5,5,7,9,6,5,8,3,10,8,1,1
,7,,0.0,3.0,2.0,3.0,0.0,,1.0,2024-11-13T09:23:10.263Z,1,1,7,,0.0,,,4.0,4.0,0.0,1.0,19.0,2.0,78.0,6.0,3.7,1,1,qew,7,,0.0,1.0,5.0,,,-5.0,-5.0,-2.0,0.0,-4.0,-5.0,4.0,-5.0,-1,-2,0,-4,-4,0,-5,0,2,-5,-5,-4,1,-5,-5,-5,5,4,4,4,4,4,4,10,10,6,4,8,2,11,10,1,1
,8,,0.0,3.0,2.0,3.0,0.0,,1.0,2024-11-13T09:23:12.231Z,1,1,8,,0.0,,,4.0,4.0,1.0,1.0,19.0,2.0,76.0,1.0,2.0,1,1,k9w,8,,0.0,1.0,3.0,,,2.0,1.0,4.0,4.0,-3.0,-5.0,-5.0,-5.0,2,2,2,-2,-3,0,-5,4,2,-5,-5,-1,0,-5,-5,-999,3,3,4,4,4,5,4,8,9,7,6,5,2,11,1,1,1
,9,,0.0,3.0,2.0,3.0,0.0,,1.0,2024-11-13T09:23:11.995Z,1,1,9,,0.0,,,4.0,4.0,1.0,1.0,20.0,2.0,79.0,4.0,3.0,1,1,3ab,9,,0.0,1.0,1.0,,,-1.0,-1.0,3.0,3.0,-2.0,-5.0,-3.0,-4.0,2,4,1,-1,-1,0,-5,3,2,-5,-5,-3,1,-5,-5,-3,5,4,4,4,4,4,3,7,8,5,4,8,1,11,2,1,1
,10,,0.0,3.0,1.0,2.0,0.0,,1.0,2024-11-13T09:23:13.113Z,1,1,10,,0.0,,,4.0,2.0,0.0,1.0,19.0,1.0,50.0,2.0,2.7,1,1,ngv,10,,0.0,1.0,5.0,,,-4.0,-5.0,2.0,3.0,-5.0,-5.0,4.0,-5.0,1,1,2,-5,-5,3,-5,2,4,-5,-5,-5,2,-5,-5,-5,4,2,4,3,5,5,4,9,10,5,5,6,2,11,9,1,1
,11,,0.0,2.0,4.0,3.0,0.0,,3.0,2024-11-13T09:23:12.620Z,1,1,11,,0.0,,,3.0,2.0,0.0,1.0,26.0,1.0,78.0,5.0,4.0,1,1,k4w,11,,0.0,1.0,2.0,,,2.0,3.0,0.0,0.0,-3.0,-5.0,-4.0,-5.0,0,1,1,-1,0,2,-3,2,0,-3,-5,3,-2,-5,-5,-5,4,3,4,3,3,5,4,6,7,5,4,7,1,10,11,1,1
,13,,0.0,3.0,1.0,3.0,0.0,,1.0,2024-11-13T09:23:16.504Z,1,1,13,,0.0,,,1.0,0.0,1.0,1.0,19.0,1.0,73.0,4.0,2.3,1,1,dnk,13,,0.0,1.0,3.0,,,-4.0,-4.0,3.0,4.0,-5.0,-5.0,0.0,-3.0,-2,2,1,-4,-5,0,-5,3,1,-5,-5,-4,4,-5,-4,-5,4,2,5,2,5,5,5,9,10,5,4,8,3,11,10,1,1
,14,,0.0,3.0,2.0,3.0,0.0,,1.0,2024-11-13T09:23:17.509Z,1,1,14,,0.0,,,4.0,4.0,1.0,0.0,19.0,2.0,0.0,7.0,2.3,1,1,tdq,14,,0.0,4.0,,1.0,1.0,2.0,0.0,4.0,3.0,-2.0,-5.0,3.0,-5.0,4,2,5,-3,-4,0,-5,4,1,-5,-5,3,1,-5,-5,-5,4,4,3,4,5,5,4,5,6,3,3,5,2,10,9,1,1
,15,,0.0,3.0,1.0,4.0,0.0,,1.0,2024-11-13T09:23:18.818Z,1,1,15,,0.0,,,1.0,3.0,0.0,0.0,27.0,2.0,78.0,6.0,-888.0,1,1,rf4,15,,0.0,3.0,,,,-2.0,-3.0,0.0,-1.0,-2.0,-3.0,0.0,0.0,-4,-3,-3,-4,-4,0,-3,-3,0,-4,-5,-4,-4,-4,-3,-5,4,2,4,2,3,3,-888,7,8,6,5,8,3,9,4,1,1
,16,,0.0,3.0,2.0,3.0,0.0,,1.0,2024-11-13T09:23:18.689Z,1,1,16,,0.0,,,3.0,1.0,1.0,1.0,25.0,1.0,88.0,4.0,2.3,1,1,b3p,16,,0.0,1.0,3.0,,,1.0,1.0,4.0,5.0,-3.0,-5.0,-4.0,-5.0,2,3,3,-3,0,5,-5,5,4,-5,-5,-4,4,-5,-5,1,4,4,3,3,4,5,4,5,5,4,3,6,2,11,1,1,1
,17,,0.0,3.0,2.0,3.0,0.0,,2.0,2024-11-13T09:23:18.552Z,1,1,17,,0.0,,,1.0,1.0,1.0,1.0,22.0,1.0,78.0,4.0,2.0,1,1,4x3,17,,0.0,1.0,8.0,,,1.0,1.0,4.0,3.0,2.0,-5.0,-4.0,0.0,4,5,5,2,1,-2,-5,1,5,-5,-5,0,-4,-5,-4,0,5,2,5,4,5,5,5,6,6,7,2,8,1,11,6,1,1
,18,,0.0,3.0,2.0,3.0,0.0,,1.0,2024-11-13T09:23:18.798Z,1,1,18,,0.0,,,2.0,4.0,1.0,1.0,21.0,2.0,64.0,2.0,1.3,1,1,gcu,18,,0.0,1.0,3.0,,,-1.0,-3.0,3.0,4.0,-2.0,-5.0,1.0,-4.0,2,1,4,-1,-3,0,-5,5,-4,-5,-5,-3,-999,-5,-4,-4,4,2,4,4,4,4,4,7,8,5,4,6,2,10,-999,1,1
,19,,0.0,2.0,4.0,3.0,0.0,,3.0,2024-11-13T09:23:22.582Z,1,1,19,,0.0,,,1.0,1.0,1.0,1.0,23.0,2.0,89.0,-999.0,3.0,1,1,c9f,19,,0.0,1.0,1.0,,,1.0,0.0,4.0,4.0,-3.0,-5.0,0.0,-5.0,1,4,1,-3,0,5,-5,2,5,-5,-5,2,1,-5,-5,-4,3,1,3,1,2,4,2,6,6,5,4,7,3,11,1,1,1
,20,,0.0,3.0,2.0,3.0,0.0,,1.0,2024-11-13T09:23:19.758Z,1,1,20,,0.0,,,4.0,4.0,1.0,1.0,19.0,1.0,88.0,2.0,2.7,1,1,yuc,20,,0.0,1.0,3.0,,,-4.0,-1.0,0.0,2.0,-3.0,-5.0,4.0,-888.0,-999,3,-999,-2,-5,1,-5,3,0,-5,-5,0,0,-4,0,0,4,1,4,1,4,4,4,9,7,5,4,6,1,11,6,1,1
,21,,0.0,3.0,1.0,5.0,0.0,,1.0,2024-11-13T09:23:19.414Z,1,1,21,,0.0,,,1.0,1.0,1.0,1.0,19.0,1.0,71.0,5.0,3.0,1,1,ent,21,,0.0,1.0,5.0,,,-3.0,-4.0,3.0,3.0,-2.0,-5.0,5.0,-5.0,3,3,3,-3,-4,1,-5,4,4,-5,-5,-4,4,-5,-5,-5,4,3,5,4,4,5,5,8,9,4,5,8,2,11,10,1,1
,23,,0.0,2.0,4.0,3.0,0.0,,2.0,2024-11-13T09:23:21.713Z,1,1,23,,0.0,,,4.0,1.0,1.0,0.0,21.0,2.0,83.0,1.0,2.3,1,1,eh3,23,,0.0,1.0,2.0,,,5.0,5.0,-2.0,-1.0,4.0,-5.0,-5.0,-2.0,-4,1,-1,5,5,-2,-2,-2,-4,-5,-5,5,-3,-5,-5,-1,4,2,4,2,5,5,5,7,8,4,5,6,1,11,9,1,1
,25,,0.0,3.0,1.0,3.0,0.0,,1.0,2024-11-13T09:23:21.458Z,1,1,25,,0.0,,,1.0,1.0,1.0,1.0,19.0,1.0,97.0,6.0,2.3,1,1,bs3,25,,0.0,1.0,1.0,,,-4.0,-4.0,5.0,4.0,3.0,-5.0,3.0,-5.0,3,5,3,1,-5,3,-5,4,2,-5,-5,0,2,-5,-5,-2,4,4,4,4,4,4,4,8,8,5,5,6,2,11,10,1,1
,26,,0.0,3.0,2.0,3.0,0.0,,2.0,2024-11-13T09:23:21.488Z,1,1,26,,0.0,,,2.0,2.0,1.0,1.0,21.0,1.0,89.0,2.0,2.3,1,1,t94,26,,0.0,1.0,3.0,,,-1.0,-1.0,2.0,2.0,-3.0,-5.0,-3.0,-3.0,0,4,0,-3,-5,3,-4,4,5,-5,-5,2,2,-4,-999,-5,5,1,5,1,5,4,4,7,8,5,3,9,1,11,2,1,1
,27,,0.0,3.0,1.0,5.0,0.0,,1.0,2024-11-13T09:23:22.959Z,1,1,27,,0.0,,,3.0,3.0,1.0,1.0,18.0,2.0,71.0,2.0,-888.0,1,1,gye,27,,0.0,1.0,3.0,,,-3.0,-5.0,-3.0,1.0,-5.0,-5.0,-5.0,-5.0,-5,-3,-888,-5,-5,0,-5,2,-5,-5,-5,-5,1,-5,-5,-5,3,1,4,2,5,5,4,8,10,4,5,8,1,11,11,1,1
,28,,0.0,3.0,2.0,3.0,1.0,,1.0,2024-11-13T09:23:22.307Z,1,1,28,,0.0,,,4.0,4.0,1.0,1.0,21.0,1.0,0.0,-999.0,3.7,1,1,tpu,28,,0.0,4.0,,1.0,3.0,-888.0,-888.0,-888.0,-888.0,-888.0,-888.0,-888.0,-888.0,-888,1,-888,-888,-888,0,-5,-888,3,-5,-888,-888,-888,-888,-888,-4,2,-888,3,3,2,2,3,8,8,4,5,6,6,6,6,1,1
,29,,0.0,2.0,5.0,3.0,0.0,,3.0,2024-11-13T09:23:23.611Z,1,1,29,,0.0,,,4.0,2.0,1.0,0.0,21.0,2.0,0.0,6.0,2.7,1,1,wfr,29,,0.0,1.0,2.0,,,4.0,5.0,2.0,-5.0,4.0,0.0,-5.0,-5.0,1,2,-4,-1,4,0,-2,0,-5,-5,-1,5,-5,2,-5,-1,3,2,4,3,5,4,3,6,7,5,4,7,1,10,4,1,1
,30,,0.0,3.0,2.0,3.0,0.0,,2.0,2024-11-13T09:23:25.074Z,1,1,30,,0.0,,,4.0,4.0,1.0,1.0,23.0,1.0,78.0,2.0,2.3,1,1,m49,30,,0.0,1.0,3.0,,,-4.0,-5.0,-2.0,4.0,-5.0,-5.0,-2.0,-5.0,-3,2,0,-5,-5,4,-5,2,0,-5,-5,-5,4,-5,-5,-5,4,3,4,3,4,4,4,9,10,7,5,8,2,11,2,1,1
,33,,0.0,3.0,1.0,3.0,0.0,,1.0,2024-11-13T09:23:27.783Z,1,1,33,,0.0,,,4.0,-999.0,1.0,0.0,19.0,1.0,78.0,3.0,3.7,1,1,ugr,33,,0.0,1.0,3.0,,,-4.0,-4.0,3.0,4.0,1.0,-5.0,0.0,-5.0,3,5,3,-4,-5,1,-5,4,2,-5,-5,-4,3,-5,-5,-4,4,4,5,3,4,4,3,8,9,5,3,7,2,11,9,1,1
,34,,0.0,3.0,3.0,3.0,0.0,,2.0,2024-11-13T09:23:26.156Z,1,1,34,,0.0,,,1.0,1.0,1.0,1.0,19.0,1.0,88.0,2.0,2.7,1,1,yg9,34,,0.0,1.0,7.0,,,-4.0,-4.0,-4.0,-3.0,-4.0,-3.0,-4.0,0.0,-4,3,-5,-4,-5,-5,-5,0,0,-5,0,-1,-3,-5,0,0,4,4,4,1,4,4,3,10,10,10,10,10,1,11,6,1,1
,36,,0.0,3.0,1.0,5.0,1.0,,1.0,2024-11-13T09:23:38.550Z,1,1,36,,0.0,,,4.0,4.0,1.0,1.0,22.0,1.0,0.0,1.0,4.0,1,1,xyb,36,,0.0,4.0,,1.0,3.0,-2.0,-2.0,-2.0,2.0,-4.0,-5.0,2.0,-4.0,-3,-3,-888,-888,-888,0,-5,-888,3,-5,-888,-888,-888,-888,-888,-5,2,-888,2,2,2,2,4,8,8,6,3,7,2,11,8,1,1
,37,,0.0,3.0,2.0,3.0,0.0,,2.0,2024-11-13T09:23:25.354Z,1,1,37,,0.0,,,4.0,3.0,1.0,1.0,18.0,1.0,88.0,4.0,3.0,1,1,ktd,37,,0.0,1.0,3.0,,,1.0,0.0,4.0,5.0,-2.0,-5.0,4.0,-5.0,3,5,3,-2,-3,0,-5,3,4,-5,-5,0,1,-5,-4,-888,4,3,4,2,4,4,4,7,7,5,4,7,2,11,9,1,1
,38,,0.0,3.0,2.0,3.0,0.0,,2.0,2024-11-13T09:23:26.330Z,1,1,38,,0.0,,,1.0,1.0,1.0,1.0,20.0,2.0,77.0,1.0,3.0,1,1,mry,38,,0.0,1.0,1.0,,,1.0,1.0,2.0,-1.0,1.0,-5.0,-4.0,-4.0,1,3,4,2,-3,3,-5,2,0,-5,-5,0,0,-5,-4,-1,4,4,4,2,4,4,3,7,7,6,6,7,2,10,3,1,1
,39,,0.0,3.0,2.0,3.0,0.0,,2.0,2024-11-13T09:23:26.643Z,1,1,39,,0.0,,,2.0,2.0,1.0,1.0,19.0,1.0,78.0,7.0,2.0,1,1,dss,39,,0.0,4.0,,1.0,8.0,1.0,1.0,1.0,0.0,0.0,-3.0,2.0,-888.0,0,2,0,0,0,-888,0,-888,-1,-2,0,0,-888,-888,-888,-888,4,3,3,4,4,5,4,-999,-999,-999,-999,-999,-999,-999,-999,1,1
,40,,0.0,3.0,2.0,3.0,0.0,,1.0,2024-11-13T09:23:26.885Z,1,1,40,,0.0,,,3.0,0.0,0.0,0.0,22.0,1.0,79.0,7.0,2.0,1,1,qay,40,,0.0,1.0,5.0,,,0.0,0.0,3.0,2.0,1.0,-5.0,3.0,-888.0,-4,2,-4,-4,0,3,-5,4,0,-5,-888,-4,3,-5,-5,-5,3,-888,4,2,4,3,4,-999,-999,-999,-999,-999,-999,-999,-999,1,1
,41,,0.0,3.0,2.0,3.0,0.0,,2.0,2024-11-13T09:23:27.190Z,1,1,41,,0.0,,,1.0,1.0,1.0,1.0,20.0,2.0,72.0,2.0,2.7,1,1,hn9,41,,0.0,1.0,6.0,,,-2.0,-2.0,-4.0,-5.0,0.0,3.0,-5.0,-5.0,-4,-5,-3,2,-4,-5,4,-5,-4,0,5,2,-5,3,-5,-5,4,1,5,1,5,5,5,3,3,2,1,6,1,9,1,1,1
,42,,0.0,3.0,3.0,3.0,0.0,,2.0,2024-11-13T09:23:28.159Z,1,1,42,,0.0,,,3.0,1.0,1.0,1.0,19.0,1.0,78.0,1.0,2.7,1,1,qx3,42,,0.0,1.0,1.0,,,-4.0,-5.0,4.0,3.0,-4.0,-5.0,1.0,-5.0,3,3,2,-5,-5,0,-5,4,-2,-5,-5,-5,4,-5,-2,-5,5,3,5,3,4,3,4,8,9,5,3,8,2,11,9,1,1
,43,,0.0,3.0,2.0,3.0,0.0,,2.0,2024-11-13T09:23:28.904Z,1,1,43,,0.0,,,3.0,3.0,1.0,1.0,21.0,2.0,64.0,4.0,2.3,1,1,mcb,43,,0.0,1.0,4.0,,,2.0,2.0,-4.0,-4.0,4.0,-4.0,-5.0,-5.0,-5,-2,-4,3,2,0,0,-4,-5,-5,-5,-3,-1,-5,-5,1,5,2,5,3,4,4,4,6,7,5,4,6,1,10,1,1,1
,45,,0.0,2.0,4.0,3.0,0.0,,2.0,2024-11-13T09:23:05.811Z,1,1,45,,0.0,,,2.0,2.0,1.0,1.0,24.0,1.0,22.0,1.0,-888.0,1,1,ryn,45,,0.0,1.0,3.0,,,1.0,-1.0,3.0,3.0,-1.0,-4.0,2.0,-3.0,-1,1,3,-1,-2,3,-1,3,3,-4,-5,-1,1,-4,-1,-4,4,2,3,2,4,4,4,7,8,4,3,6,2,10,7,1,1
